Title,Severity,Result
Verify Permissions on /etc/cron.allow file,medium,Pass
Enable cron Service,medium,Pass
Verify Group Who Owns cron.d,medium,Pass
Verify Group Who Owns cron.daily,medium,Pass
Verify Group Who Owns cron.hourly,medium,Pass
Verify Group Who Owns cron.monthly,medium,Pass
Verify Group Who Owns cron.weekly,medium,Pass
Verify Group Who Owns Crontab,medium,Pass
Verify Owner on cron.d,medium,Pass
Verify Owner on cron.daily,medium,Pass
Verify Owner on cron.hourly,medium,Pass
Verify Owner on cron.monthly,medium,Pass
Verify Owner on cron.weekly,medium,Pass
Verify Owner on crontab,medium,Pass
Verify Permissions on cron.d,medium,Fail
Verify Permissions on cron.daily,medium,Fail
Verify Permissions on cron.hourly,medium,Fail
Verify Permissions on cron.monthly,medium,Fail
Verify Permissions on cron.weekly,medium,Fail
Verify Permissions on crontab,medium,Fail
Uninstall DHCP Server Package,medium,Pass
Uninstall bind Package,low,Pass
Uninstall vsftpd Package,high,Pass
Remove ftp Package,low,Pass
Ensure Mail Transfer Agent is not Listening on any non-loopback Address,medium,Pass
Disable rpcbind Service,low,Pass
The Chrony package is installed,medium,Pass
A remote time server for Chrony is configured,medium,Pass
Ensure that chronyd is running under chrony user account,medium,Pass
Uninstall xinetd Package,low,Pass
Uninstall ypserv Package,high,Pass
Uninstall telnet-server Package,high,Pass
Remove telnet Clients,low,Fail
Uninstall rsync Package,medium,Pass
Set SSH Client Alive Count Max,medium,Fail
Set SSH Client Alive Interval,medium,Fail
Disable Host-Based Authentication,medium,Fail
Disable SSH Access via Empty Passwords,high,Fail
Disable SSH Support for .rhosts Files,medium,Fail
Disable SSH Root Login,medium,Fail
Do Not Allow SSH Environment Options,medium,Fail
Enable PAM,medium,Pass
Enable SSH Warning Banner,medium,Fail
Ensure SSH LoginGraceTime is configured,medium,Fail
Set SSH Daemon LogLevel to VERBOSE,medium,Fail
Set SSH authentication attempt limit,medium,Fail
Set SSH MaxSessions limit,medium,Fail
Ensure SSH MaxStartups is configured,medium,Fail
Use Only FIPS 140-2 Validated Ciphers,medium,Fail
Use Only Strong Key Exchange algorithms,medium,Fail
Use Only Strong MACs,medium,Fail
Verify Group Who Owns SSH Server config file,medium,Pass
Verify Group Ownership on SSH Server Private *_key Key Files,medium,Pass
Verify Group Ownership on SSH Server Public *.pub Key Files,medium,Pass
Verify Owner on SSH Server config file,medium,Pass
Verify Ownership on SSH Server Private *_key Key Files,medium,Pass
Verify Ownership on SSH Server Public *.pub Key Files,medium,Pass
Verify Permissions on SSH Server config file,medium,Pass
Verify Permissions on SSH Server Private *_key Key Files,medium,Pass
Verify Permissions on SSH Server Public *.pub Key Files,medium,Pass
