Title,Severity,Result
Ensure SELinux is Not Disabled,high,Fail
Configure SELinux Policy,medium,Pass
Ensure SELinux State is Enforcing,high,Fail
Ensure that /etc/at.deny does not exist,medium,Pass
Ensure that /etc/cron.allow exists,medium,Fail
Ensure that /etc/cron.deny does not exist,medium,Fail
Verify Group Who Owns /etc/at.allow file,medium,Pass
Verify Group Who Owns /etc/cron.allow file,medium,Pass
Verify User Who Owns /etc/cron.allow file,medium,Pass
Verify Permissions on /etc/at.allow file,medium,Pass
Verify Permissions on /etc/cron.allow file,medium,Pass
Enable cron Service,medium,Pass
Verify Group Who Owns cron.d,medium,Pass
Verify Group Who Owns cron.daily,medium,Pass
Verify Group Who Owns cron.hourly,medium,Pass
Verify Group Who Owns cron.monthly,medium,Pass
Verify Group Who Owns cron.weekly,medium,Pass
Verify Group Who Owns Crontab,medium,Pass
Verify Owner on cron.d,medium,Pass
Verify Owner on cron.daily,medium,Pass
Verify Owner on cron.hourly,medium,Pass
Verify Owner on cron.monthly,medium,Pass
Verify Owner on cron.weekly,medium,Pass
Verify Owner on crontab,medium,Pass
Verify Permissions on cron.d,medium,Fail
Verify Permissions on cron.daily,medium,Fail
Verify Permissions on cron.hourly,medium,Fail
Verify Permissions on cron.monthly,medium,Fail
Verify Permissions on cron.weekly,medium,Fail
Verify Permissions on crontab,medium,Fail
Uninstall DHCP Server Package,medium,Pass
Uninstall bind Package,low,Pass
Uninstall vsftpd Package,high,Pass
Remove ftp Package,low,Pass
Ensure LDAP client is not installed,low,Pass
Ensure Mail Transfer Agent is not Listening on any non-loopback Address,medium,Pass
Disable rpcbind Service,low,Pass
The Chrony package is installed,medium,Pass
A remote time server for Chrony is configured,medium,Pass
Ensure that chronyd is running under chrony user account,medium,Pass
Uninstall xinetd Package,low,Pass
Uninstall ypserv Package,high,Pass
Uninstall telnet-server Package,high,Pass
Remove telnet Clients,low,Fail
Uninstall tftp-server Package,high,Pass
Remove tftp Daemon,low,Pass
Uninstall rsync Package,medium,Pass
Set SSH Client Alive Count Max,medium,Fail
Set SSH Client Alive Interval,medium,Fail
Disable Host-Based Authentication,medium,Fail
Disable SSH Access via Empty Passwords,high,Fail
Disable SSH Support for .rhosts Files,medium,Fail
Disable SSH Root Login,medium,Fail
Do Not Allow SSH Environment Options,medium,Fail
Enable PAM,medium,Pass
Enable SSH Warning Banner,medium,Fail
Ensure SSH LoginGraceTime is configured,medium,Fail
Set SSH Daemon LogLevel to VERBOSE,medium,Fail
Set SSH authentication attempt limit,medium,Fail
Set SSH MaxSessions limit,medium,Fail
Ensure SSH MaxStartups is configured,medium,Fail
Use Only FIPS 140-2 Validated Ciphers,medium,Fail
Use Only Strong Key Exchange algorithms,medium,Fail
Use Only Strong MACs,medium,Fail
Verify Group Who Owns SSH Server config file,medium,Pass
Verify Group Ownership on SSH Server Private *_key Key Files,medium,Pass
Verify Group Ownership on SSH Server Public *.pub Key Files,medium,Pass
Verify Owner on SSH Server config file,medium,Pass
Verify Ownership on SSH Server Private *_key Key Files,medium,Pass
Verify Ownership on SSH Server Public *.pub Key Files,medium,Pass
Verify Permissions on SSH Server config file,medium,Pass
Verify Permissions on SSH Server Private *_key Key Files,medium,Pass
Verify Permissions on SSH Server Public *.pub Key Files,medium,Pass
Remove the X Windows Package Group,medium,Pass
Disable Graphical Environment Startup By Setting Default Target,medium,Pass
Record Events that Modify the System's Discretionary Access Controls - fchmod,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - fchmodat,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - fchown,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - fchownat,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - fremovexattr,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - fsetxattr,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - lremovexattr,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - lsetxattr,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - removexattr,medium,Fail
Record Events that Modify the System's Discretionary Access Controls - setxattr,medium,Fail
Record Any Attempts to Run chacl,medium,Fail
Record Any Attempts to Run setfacl,medium,Fail
Record Any Attempts to Run chcon,medium,Fail
Ensure auditd Collects File Deletion Events by User - renameat,medium,Fail
Ensure auditd Collects File Deletion Events by User - unlinkat,medium,Fail
Record Unsuccessful Access Attempts to Files - ftruncate,medium,Fail
Record Unsuccessful Access Attempts to Files - openat,medium,Fail
Record Unsuccessful Access Attempts to Files - truncate,medium,Fail
Ensure auditd Collects Information on Kernel Module Unloading - delete_module,medium,Fail
Ensure auditd Collects Information on Kernel Module Loading and Unloading - finit_module,medium,Fail
Ensure auditd Collects Information on Kernel Module Loading - init_module,medium,Fail
Record Attempts to Alter Logon and Logout Events - faillock,medium,Fail
Record Attempts to Alter Logon and Logout Events - lastlog,medium,Fail
Ensure auditd Collects Information on the Use of Privileged Commands,medium,Fail
Ensure auditd Collects Information on the Use of Privileged Commands - kmod,medium,Fail
Ensure auditd Collects Information on the Use of Privileged Commands - usermod,medium,Fail
Record attempts to alter time through adjtimex,medium,Fail
Record Attempts to Alter Time Through clock_settime,medium,Fail
Record attempts to alter time through settimeofday,medium,Fail
Record Attempts to Alter the localtime File,medium,Fail
Make the auditd Configuration Immutable,medium,Fail
Record Events that Modify the System's Mandatory Access Controls,medium,Fail
Record Events that Modify the System's Mandatory Access Controls in usr/share,medium,Fail
Ensure auditd Collects Information on Exporting to Media (successful),medium,Fail
Record Events that Modify the System's Network Environment,medium,Fail
Record Events that Modify the System's Network Environment,medium,Fail
Record Attempts to Alter Process and Session Initiation Information btmp,medium,Fail
Record Attempts to Alter Process and Session Initiation Information utmp,medium,Fail
Record Attempts to Alter Process and Session Initiation Information wtmp,medium,Fail
Record Events When Executables Are Run As Another User,medium,Fail
Ensure auditd Collects System Administrator Actions,medium,Fail
Record Events that Modify User/Group Information - /etc/group,medium,Fail
Record Events that Modify User/Group Information - /etc/gshadow,medium,Fail
Record Events that Modify User/Group Information - /etc/security/opasswd,medium,Fail
Record Events that Modify User/Group Information - /etc/passwd,medium,Fail
Record Events that Modify User/Group Information - /etc/shadow,medium,Fail
Record Attempts to perform maintenance activities,medium,Fail
System Audit Logs Must Have Mode 0750 or Less Permissive,medium,Pass
System Audit Logs Must Be Group Owned By Root,medium,Pass
Audit Configuration Files Must Be Owned By Group root,medium,Pass
Audit Configuration Files Must Be Owned By Root,medium,Pass
System Audit Logs Must Be Owned By Root,medium,Pass
Audit Configuration Files Permissions are 640 or More Restrictive,medium,Pass
System Audit Logs Must Have Mode 0640 or Less Permissive,medium,Pass
Configure auditd Disk Error Action on Disk Error,medium,Fail
Configure auditd Disk Full Action when Disk Space Is Full,medium,Fail
Configure auditd mail_acct Action on Low Disk Space,medium,Pass
Configure auditd admin_space_left Action on Low Disk Space,medium,Fail
Configure auditd Max Log File Size,medium,Pass
Configure auditd max_log_file_action Upon Reaching Maximum Log Size,medium,Fail
Configure auditd space_left Action on Low Disk Space,medium,Fail
Verify that audit tools are owned by group root,medium,Pass
Verify that audit tools are owned by root,medium,Pass
Verify that audit tools Have Mode 0755 or less,medium,Pass
Ensure the audit Subsystem is Installed,medium,Pass
Enable auditd Service,medium,Pass
Enable Auditing for Processes Which Start Prior to the Audit Daemon,low,Fail
Extend Audit Backlog Limit for the Audit Daemon,low,Fail
